code,name,quality_score,momentum_score,dividend_score,total_score,price
603893,603893,,0.10914204975533542,0.4775,,167.21
688047,688047,,0.1710763264431824,0.4775,,145.15
688506,688506,,0.24756952232424131,0.4775,,257.33
601127,601127,,0.20242914902368864,0.4775,,100.23
600938,600938,1.0,0.9964574898785425,0.4775,0.7697914979757086,43.36
600989,600989,0.9962766666666667,1.0,0.4775,0.7691968333333333,30.64
601868,601868,1.0,0.9702127659574469,0.4775,0.7645425531914894,3.74
600426,600426,1.0,0.860997261337547,0.4775,0.7426994522675094,41.41
300274,300274,1.0,0.8531417025961072,0.4775,0.7411283405192215,155.8
002648,002648,1.0,0.791480587128262,0.4775,0.7287961174256524,28.25
601816,601816,1.0,0.7819400707390237,0.4775,0.7268880141478048,5.1
002463,002463,1.0,0.759020309363021,0.4775,0.7223040618726042,81.18
600027,600027,1.0,0.7407549588346037,0.4775,0.7186509917669207,5.32
600027,600027,1.0,0.7407549588346037,0.4775,0.7186509917669207,5.32
000807,000807,1.0,0.7218806815493531,0.4775,0.7148761363098707,34.75
300502,300502,1.0,0.6595734387811775,0.4775,0.7024146877562355,394.03
603195,603195,1.0,0.6428644545247406,0.4775,0.6990728909049482,43.8
300661,300661,1.0,0.6143139169844084,0.4775,0.6933627833968816,72.73
000975,000975,1.0,0.5629049346419454,0.4775,0.683080986928389,32.78
600219,600219,1.0,0.5437520791299192,0.4775,0.6792504158259838,7.37
600219,600219,1.0,0.5437520791299192,0.4775,0.6792504158259838,7.37
600482,600482,1.0,0.46881151360951057,0.4775,0.6642623027219021,32.85
000977,000977,1.0,0.46645131818668956,0.4775,0.663790263637338,61.79
300394,300394,1.0,0.45369984216724746,0.4775,0.6612399684334495,325.0
002028,002028,1.0,0.4340047695415363,0.4775,0.6573009539083072,211.4
300782,300782,1.0,0.4223740090807325,0.4775,0.6549748018161465,79.59
300832,300832,1.0,0.4170295630100003,0.4775,0.653905912602,52.47
600066,600066,1.0,0.40899315113760104,0.4775,0.6522986302275202,30.65
600161,600161,1.0,0.3551064936071448,0.4775,0.6415212987214289,16.04
688169,688169,1.0,0.3270736635212345,0.4775,0.6359147327042469,132.77
300476,300476,1.0,0.3178381914439277,0.4775,0.6340676382887855,278.23
601728,601728,0.6077033333333333,1.0,0.4775,0.6331961666666667,6.18
600600,600600,0.6730666666666667,0.8710957577226799,0.4775,0.6302924848778694,63.42
002916,002916,1.0,0.2951168509084878,0.4775,0.6295233701816976,250.23
300308,300308,1.0,0.2811965412867049,0.4775,0.6267393082573409,542.02
002371,002371,1.0,0.24785700414485867,0.4775,0.6200714008289717,457.88
300979,300979,1.0,0.2437628792829657,0.4775,0.6192525758565931,47.14
600183,600183,1.0,0.2378800652141862,0.4775,0.6180760130428372,63.44
600150,600150,1.0,0.23063153544708415,0.4775,0.6166263070894168,35.18
300896,300896,1.0,0.2186566687795366,0.4775,0.6142313337559073,142.1
605499,605499,1.0,0.206964253201997,0.4775,0.6118928506403993,227.2
300999,300999,0.52867,1.0,0.4775,0.6055345,31.87
601136,601136,1.0,0.17283142761654632,0.4775,0.6050662855233092,17.44
000596,000596,1.0,0.17273560004285834,0.4775,0.6050471200085716,113.69
300760,300760,1.0,0.17144712225253414,0.4775,0.6047894244505068,178.57
603369,603369,1.0,0.13289573120342302,0.4775,0.5970791462406846,29.4
601058,601058,1.0,0.12986009260044154,0.4775,0.5964720185200882,14.31
002938,002938,0.9602333333333333,0.19550400992971367,0.4775,0.5956824686526093,51.13
001391,001391,1.0,0.09012505566239647,0.4775,0.5885250111324792,5.7
601018,601018,0.7609166666666667,0.4854821652230009,0.4775,0.5839172663779335,4.21
688008,688008,1.0,0.05980639149796729,0.4775,0.5824612782995935,146.5
000630,000630,1.0,0.0523204555874575,0.4775,0.5809640911174915,6.95
002625,002625,1.0,0.04986178536944292,0.4775,0.5804723570738886,43.36
300628,300628,1.0,0.04556344396969549,0.4775,0.5796126887939391,34.2
300251,300251,1.0,0.0,0.4775,0.5705,16.44
601825,601825,0.36479666666666666,0.9038020597332629,0.4775,0.5289392452799859,8.81
600377,600377,0.4437666666666667,0.7092747362588404,0.4775,0.5176732805851014,12.37
300866,300866,0.5138166666666667,0.4008191955049322,0.4775,0.4804996724343198,97.1
601077,601077,0.04093,0.8280372315920386,0.4775,0.40043294631840776,6.97
601298,601298,0.46247333333333335,0.0789154593086861,0.4775,0.39814875852840387,9.09
002384,002384,0.0,0.8647068817666472,0.4775,0.39344137635332943,110.93
688472,688472,0.0,0.7979261004224991,0.4775,0.38008522008449985,15.67
600522,600522,0.0,0.7101035951403702,0.4775,0.36252071902807403,29.75
002600,002600,0.0,0.162944889448782,0.4775,0.2530889778897564,14.36
301236,301236,0.0,0.13002572840231785,0.4775,0.24650514568046356,45.65
300803,300803,0.0,0.09075801822856444,0.4775,0.2386516036457129,103.27
601456,601456,0.0,0.07604844663650179,0.4775,0.23570968932730035,9.43
302132,302132,0.0,0.04435281100803916,0.4775,0.22937056220160784,72.88
688256,688256,,0.40187807311190915,0.4775,,1096.1
600023,600023,1.0,0.7121140473121936,0.4775,0.7129228094624387,5.57
002422,002422,1.0,0.5505382328573027,0.4775,0.6806076465714606,32.59
601872,601872,1.0,0.40226825529164595,0.4775,0.6509536510583291,15.58
600674,600674,0.7375866666666667,0.7131496123258005,0.4775,0.6212852557984935,15.72
300442,300442,1.0,0.22946868573217932,0.4775,0.6163937371464359,83.54
000999,000999,0.9398566666666667,0.32776539429712975,0.4775,0.6150029121927593,29.12
600489,600489,1.0,0.20298833398092517,0.4775,0.611097666796185,30.77
688187,688187,1.0,0.13502770063102576,0.4775,0.5975055401262052,55.9
600160,600160,1.0,0.08526281875935554,0.4775,0.587552563751871,38.72
600372,600372,1.0,0.04657214496637572,0.4775,0.5798144289932752,14.2
601916,601916,0.50122,0.9070794255850159,0.4775,0.5773428851170032,3.1
600026,600026,0.7310633333333333,0.49624962013859636,0.4775,0.5756220906943859,22.11
601689,601689,1.0,0.024470204490013005,0.4775,0.5753940408980026,63.12
688041,688041,0.9616333333333333,0.028046415044009863,0.4775,0.5626809496754687,235.74
603296,603296,0.49401,0.6773968682430731,0.4775,0.5288828736486146,90.63
688271,688271,0.7062233333333334,0.16109430825764823,0.4775,0.49989702831819627,119.28
601607,601607,0.18404,0.8414571547588653,0.4775,0.45320543095177307,17.29
688009,688009,0.059213333333333354,0.660436747422479,0.4775,0.3733120161511625,6.13
000983,000983,0.0,0.720459143927605,0.4775,0.364591828785521,7.45
600803,600803,0.0,0.6557733399835498,0.4775,0.35165466799670997,22.66
600875,600875,0.03718333333333336,0.5491376920502423,0.4775,0.34334170507671513,38.4
000617,000617,0.20881999999999998,0.1802316235037441,0.4775,0.3296333247007488,8.88
688223,688223,0.0,0.48880989461814556,0.4775,0.3182619789236291,7.89
600039,600039,0.0,0.3677347530886607,0.4775,0.2940469506177321,9.95
600515,600515,0.1063,0.07935555204175718,0.4775,0.27357611040835145,3.89
601059,601059,0.0,0.222566267211921,0.4775,0.2650132534423842,17.44
688082,688082,0.0,0.05745908549170082,0.4775,0.23199181709834016,153.48
600415,600415,0.0,0.04232426253584942,0.4775,0.22896485250716989,13.85
300418,300418,0.0,0.01737197914090145,0.4775,0.2239743958281803,50.51
301269,301269,0.0,0.013866032240152542,0.4775,0.2232732064480305,93.67
300498,300498,,0.7555037027803999,0.4775,,17.43
603986,603986,1.0,0.15901686861698108,0.4775,0.6023033737233962,278.33
002920,002920,0.94356,0.2560692285695706,0.4775,0.6019598457139141,117.24
002920,002920,0.94356,0.2560692285695706,0.4775,0.6019598457139141,117.24
300316,300316,1.0,0.0678954336838938,0.4775,0.5840790867367788,47.21
688111,688111,1.0,0.05166293475556585,0.4775,0.5808325869511132,278.77
603501,603501,1.0,0.03537804574334846,0.4775,0.5775756091486697,111.73
600845,600845,0.8290266666666667,0.2985436607231562,0.4775,0.5703680654779646,22.7
600845,600845,0.8290266666666667,0.2985436607231562,0.4775,0.5703680654779646,22.7
600905,600905,0.45963,0.8975609756097553,0.4775,0.5608826951219511,4.43
300750,300750,0.70204,0.4694558273925724,0.4775,0.5601051654785145,357.5
600233,600233,0.39365,0.9261244574633848,0.4775,0.543502391492677,20.7
003816,003816,0.41926,0.8195266766397893,0.4775,0.5311463353279579,4.33
601658,601658,0.2917366666666667,0.5161323644479529,0.4775,0.42583430622292395,5.08
605117,605117,0.0,0.9974674130082877,0.4775,0.4199934826016576,124.5
002709,002709,0.0,0.9552196305509792,0.4775,0.41154392611019586,48.77
000792,000792,0.0,0.9034389090918533,0.4775,0.40118778181837067,39.6
000792,000792,0.0,0.9034389090918533,0.4775,0.40118778181837067,39.6
000708,000708,0.14773,0.6268895221878277,0.4775,0.39758340443756557,17.38
300014,300014,0.0,0.8165625170226449,0.4775,0.383812503404529,68.22
600188,600188,0.0,0.8076406836669374,0.4775,0.38202813673338754,21.77
600188,600188,0.0,0.8076406836669374,0.4775,0.38202813673338754,21.77
002459,002459,0.0,0.7466562449905454,0.4775,0.3698312489981091,12.74
601898,601898,0.0,0.740349649467161,0.4775,0.3685699298934322,18.82
603019,603019,0.0,0.5864704497091775,0.4775,0.3377940899418355,89.1
002466,002466,0.0,0.5754461368520112,0.4775,0.33558922737040225,54.15
688303,688303,0.0,0.5522152932127004,0.4775,0.3309430586425401,23.8
002179,002179,0.0,0.5214013824227532,0.4775,0.32478027648455066,35.56
601100,601100,0.20693333333333333,0.13662451383423976,0.4775,0.3202515694335146,107.7
600089,600089,0.0,0.40701015618443004,0.4775,0.301902031236886,30.32
603392,603392,0.0,0.3691960017086052,0.4775,0.29433920034172106,39.75
300759,300759,0.0,0.32297473579474023,0.4775,0.28509494715894806,27.79
603260,603260,0.0,0.31244849429796073,0.4775,0.28298969885959213,49.03
600918,600918,0.0,0.2789965636216571,0.4775,0.2762993127243314,6.24
600918,600918,0.0,0.2789965636216571,0.4775,0.2762993127243314,6.24
688981,688981,0.0,0.21554226874182492,0.4775,0.263608453748365,107.06
601236,601236,0.0,0.20161812173364926,0.4775,0.26082362434672984,7.93
688396,688396,0.0,0.1603311929840031,0.4775,0.2525662385968006,49.8
601995,601995,0.0,0.1463851682553691,0.4775,0.24977703365107382,34.17
300347,300347,0.0,0.1422086728435747,0.4775,0.24894173456871493,55.11
000408,000408,0.0,0.10353681397326636,0.4775,0.24120736279465327,80.1
601319,601319,0.0,0.09051171802470726,0.4775,0.23860234360494145,8.46
688126,688126,0.0,0.08772079576767683,0.4775,0.23804415915353538,19.34
601698,601698,0.0,0.08358475159262801,0.4775,0.2372169503185256,35.64
688012,688012,0.016369999999999982,0.04508104568502602,0.4775,0.2352457091370052,312.93
002049,002049,0.0,0.056783650487771765,0.4775,0.23185673009755436,73.74
000301,000301,0.0,0.02723378148763964,0.4775,0.22594675629752792,11.66
300413,300413,0.0,0.0,0.4775,0.2205,22.18
601360,601360,,0.3608908613276465,0.4775,,12.0
601360,601360,,0.3608908613276465,0.4775,,12.0
600011,600011,1.0,0.895962182667949,0.4775,0.7496924365335899,7.85
600926,600926,1.0,0.8166585614461317,0.4775,0.7338317122892264,17.16
002311,002311,1.0,0.7980255008682429,0.4775,0.7301051001736486,56.51
600025,600025,1.0,0.7727379522846862,0.4775,0.7250475904569372,10.49
600025,600025,1.0,0.7727379522846862,0.4775,0.7250475904569372,10.49
002001,002001,1.0,0.6993455825080896,0.4775,0.7103691165016179,38.67
603288,603288,0.7285666666666667,0.9503363613115758,0.4775,0.6655656055956485,37.79
603288,603288,0.7285666666666667,0.9503363613115758,0.4775,0.6655656055956485,37.79
601838,601838,0.76248,0.7460373761534372,0.4775,0.6365754752306875,17.15
600346,600346,1.0,0.32137993949505655,0.4775,0.6347759878990114,22.96
600346,600346,1.0,0.32137993949505655,0.4775,0.6347759878990114,22.96
601808,601808,1.0,0.3039137056711667,0.4775,0.6312827411342333,17.69
600919,600919,0.6643433333333334,0.814921493302241,0.4775,0.6160044653271148,10.75
600809,600809,1.0,0.13723904432210637,0.4775,0.5979478088644212,159.16
002601,002601,1.0,0.07129529101111082,0.4775,0.5847590582022222,19.54
002352,002352,0.64282,0.6808895107390142,0.4775,0.5816649021478029,38.06
601138,601138,1.0,0.04989887613803139,0.4775,0.5804797752276063,52.49
600436,600436,1.0,0.003520786148211497,0.4775,0.5712041572296422,156.42
600760,600760,0.73499,0.09301834733619847,0.4775,0.49635016946723964,51.66
601229,601229,0.38760333333333336,0.5396681283266156,0.4775,0.4640947923319898,9.87
300015,300015,0.5987133333333333,0.027881179456973153,0.4775,0.43562590255806133,10.16
000661,000661,0.45946,0.16492805755395704,0.4775,0.4142966115107914,90.0
601012,601012,0.0,0.8135191822860002,0.4775,0.3832038364572,18.87
002460,002460,0.0,0.598372967866704,0.4775,0.3401745935733408,70.03
600438,600438,0.0,0.5655829013746906,0.4775,0.3336165802749381,19.32
600176,600176,0.0,0.45119422542049087,0.4775,0.3107388450840982,26.1
601238,601238,0.0,0.3996132164107111,0.4775,0.30042264328214224,7.87
601238,601238,0.0,0.3996132164107111,0.4775,0.30042264328214224,7.87
300122,300122,0.0,0.2583735985626835,0.4775,0.2721747197125367,16.17
601878,601878,0.015713333333333305,0.16467450035613473,0.4775,0.2589345667378936,10.27
601881,601881,0.0,0.17972221247100859,0.4775,0.25644444249420173,14.04
601066,601066,0.0,0.11857872822083325,0.4775,0.24421574564416665,22.94
603799,603799,0.0,0.09450242909749193,0.4775,0.23940048581949838,66.83
603259,603259,0.0,0.04705678101434154,0.4775,0.22991135620286832,90.87
002714,002714,,0.6709177179910758,0.4775,,49.79
300033,300033,0.0,0.20902846717837398,0.4775,0.2623056934356748,318.18
002230,002230,,0.02264845071653393,0.4775,,51.8
600886,600886,1.0,0.8466155770652849,0.4775,0.739823115413057,14.78
002475,002475,1.0,0.4469691448884295,0.4775,0.6598938289776859,49.33
001979,001979,1.0,0.24164557396825936,0.4775,0.6188291147936519,9.6
000725,000725,,0.463194227169252,0.4775,,4.36
601633,601633,1.0,1.0,0.4775,0.7705000000000001,21.07
002594,比亚迪,0.63912,1.0,0.4775,0.644192,97.52
601800,601800,0.6147033333333333,1.0,0.4775,0.6356461666666666,8.5
601901,601901,1.0,0.23128973973166128,0.4775,0.6167579479463322,7.41
002241,002241,1.0,0.20878569440110364,0.4775,0.6122571388802207,25.19
603993,603993,1.0,0.1632317060976807,0.4775,0.6031463412195361,19.76
601021,601021,1.0,0.13515992441869878,0.4775,0.5975319848837397,48.2
002236,002236,0.9640500000000001,0.18871455708813495,0.4775,0.5956604114176269,18.07
601985,601985,0.4821233333333333,1.0,0.4775,0.5892431666666667,9.24
601669,601669,0.45165666666666665,1.0,0.4775,0.5785798333333333,7.19
002415,002415,0.80188,0.30467992358604723,0.4775,0.5620939847172095,31.16
000963,000963,0.7733766666666667,0.3019515382409571,0.4775,0.5515721409815247,34.93
300124,300124,0.6487499999999999,0.5166245899038261,0.4775,0.5508874179807652,72.79
600018,600018,0.5470166666666666,0.6544871704808818,0.4775,0.5428532674295097,5.18
000333,美的集团,0.6977733333333334,0.27363529797004227,0.4775,0.5194477262606751,77.17
002027,002027,0.5675399999999999,0.28853453147338376,0.4775,0.4768459062946767,6.87
002252,002252,0.5134500000000001,0.3247987436689223,0.4775,0.46516724873378446,6.23
601877,601877,0.0,1.0,0.4775,0.4205,39.05
000938,000938,0.005156666666666669,0.7777591260684578,0.4775,0.3778566585470249,25.8
601225,601225,0.0,0.7509931976754788,0.4775,0.37069863953509574,26.24
300059,300059,0.20983666666666664,0.10536980328037024,0.4775,0.31501679398940735,21.1
601919,601919,0.0,0.4452104549513654,0.4775,0.3095420909902731,15.78
002736,002736,0.0,0.39510453224428976,0.4775,0.299520906448858,12.21
000166,000166,0.0,0.37534914637386846,0.4775,0.2955698292747737,4.95
601788,601788,0.0,0.1993030292829429,0.4775,0.2603606058565886,16.13
600061,600061,0.0,0.1862022381906846,0.4775,0.2577404476381369,7.3
600570,600570,0.0,0.12297054276197461,0.4775,0.24509410855239494,27.29
600958,600958,0.0,0.10213563714040486,0.4775,0.24092712742808098,9.76
601211,601211,0.0,0.08279863070452985,0.4775,0.23705972614090598,17.94
601377,601377,0.0,0.08180866633764908,0.4775,0.23686173326752982,6.43
000776,000776,0.0,0.05497574701260481,0.4775,0.23149514940252097,19.32
601336,601336,0.0,0.03178636112812141,0.4775,0.2268572722256243,70.8
600115,600115,,0.12694552461220826,0.4775,,4.7
601766,601766,1.0,0.6963296542913985,0.4775,0.7097659308582797,6.42
600887,600887,1.0,0.6346746162270361,0.4775,0.6974349232454072,26.71
600406,600406,0.79055,0.5827290805213888,0.4775,0.6137383161042778,29.21
600588,600588,,0.10931344702327571,0.4775,,13.21
000876,000876,,0.7103892828453224,0.4775,,8.87
601600,601600,1.0,0.6055481664928328,0.4775,0.6916096332985665,14.08
600893,600893,1.0,0.3272736397295076,0.4775,0.6359547279459015,53.88
000338,000338,1.0,0.21545114592322254,0.4775,0.6135902291846445,25.01
600547,600547,1.0,0.19257398642621731,0.4775,0.6090147972852434,46.51
601186,601186,0.4274366666666667,1.0,0.4775,0.5701028333333333,7.51
601169,601169,0.48682,0.878306870250559,0.4775,0.5665483740501118,5.49
601628,601628,0.84831,0.05258504862728714,0.4775,0.5279255097254574,41.93
600276,恒瑞医药,0.6957366666666667,0.3067004723995959,0.4775,0.5253479278132525,54.94
601668,601668,0.37185,0.8553390179053472,0.4775,0.5217153035810694,5.15
601328,601328,0.37368,0.8235707949097083,0.4775,0.5160021589819417,6.85
601857,601857,0.5238133333333334,0.45390276488691733,0.4775,0.4946152196440502,12.05
601899,601899,0.70753,0.08102312728393633,0.4775,0.4843401254567873,35.77
601818,601818,0.34430666666666665,0.7139038012211268,0.4775,0.4837880935775587,3.33
601998,601998,0.3240766666666667,0.6993110472182567,0.4775,0.47378904277698464,7.51
601939,601939,0.24957666666666664,0.7847431026444043,0.4775,0.4648004538622142,9.15
601009,601009,0.5054200000000001,0.3102305610441013,0.4775,0.4594431122088203,11.18
002142,002142,0.5423600000000001,0.16667581630440026,0.4775,0.4436611632608801,31.15
601088,601088,0.0,1.0,0.4775,0.4205,47.95
002304,002304,0.49286,0.13623834846693536,0.4775,0.42024866969338703,51.17
601618,601618,0.0,0.939291625375502,0.4775,0.4083583250751004,3.31
601288,601288,0.2743533333333333,0.45432160637028196,0.4775,0.40738798794072306,6.62
000895,000895,0.0,0.8581497534606384,0.4775,0.3921299506921277,27.93
601601,601601,0.38941333333333333,0.12224784636264542,0.4775,0.38124423593919576,39.17
601318,中国平安,0.25282666666666664,0.11999124521065435,0.4775,0.3329875823754642,61.4
601390,601390,0.017759999999999998,0.5207316375871982,0.4775,0.33086232751743966,5.94
601166,601166,0.19419666666666666,0.20045139115759722,0.4775,0.3285591115648528,18.3
000100,000100,0.0,0.5281968779859426,0.4775,0.32613937559718853,4.87
601888,中国中免,0.29174333333333335,0.0,0.4775,0.32261016666666664,73.29
600999,600999,0.18230333333333335,0.11807930374511619,0.4775,0.3079220274156899,15.98
600111,600111,0.0,0.04043938161106596,0.4775,0.2285878763222132,50.82
601688,601688,0.0,0.03875544411081824,0.4775,0.22825108882216366,19.65
601111,601111,,0.10093385309901377,0.4775,,7.39
000651,000651,0.9624433333333333,0.8721150665829984,0.4775,0.7317781799832664,38.6
600009,600009,,0.09631081495525148,0.4775,,29.27
600029,600029,,0.11929203348517001,0.4775,,6.29
000651,000651,0.9624433333333333,0.8721150665829984,0.4775,0.7317781799832664,38.6
600690,600690,1.0,0.3381555980708868,0.4775,0.6381311196141773,25.08
600660,600660,1.0,0.32546412672535263,0.4775,0.6355928253450706,59.51
600050,600050,0.5832633333333334,0.9322281812087251,0.4775,0.6110878029084117,5.07
000568,000568,1.0,0.0506362459636424,0.4775,0.5806272491927285,105.01
000568,000568,1.0,0.0506362459636424,0.4775,0.5806272491927285,105.01
000538,000538,0.73649,0.4211714496434135,0.4775,0.5625057899286827,56.22
000157,000157,0.9611,0.0,0.4775,0.556885,9.28
000157,000157,0.9611,0.0,0.4775,0.556885,9.28
600015,600015,0.35512000000000005,0.9218677710174212,0.4775,0.5291655542034843,7.16
600519,贵州茅台,0.8532966666666667,0.04516271293222516,0.4775,0.5281863759197784,1397.0
000768,000768,0.8557366666666667,0.015463357850174098,0.4775,0.5231005049033681,26.88
000858,五粮液,0.7221966666666667,0.10194439646127382,0.4775,0.4936577126255881,101.52
000858,五粮液,0.7221966666666667,0.10194439646127382,0.4775,0.4936577126255881,101.52
600019,600019,0.49464,0.4181728004955845,0.4775,0.47725856009911694,7.11
000001,平安银行,0.4086666666666667,0.5608490203310235,0.4775,0.47570313739953807,10.96
000001,平安银行,0.4086666666666667,0.5608490203310235,0.4775,0.47570313739953807,10.96
000063,000063,0.5213066666666666,0.2341730735534542,0.4775,0.4497919480440241,36.63
000063,000063,0.5213066666666666,0.2341730735534542,0.4775,0.4497919480440241,36.63
601988,601988,0.23872,0.671627015652294,0.4775,0.4383774031304588,5.39
601398,601398,0.2338866666666667,0.6253888818728819,0.4775,0.42743810970790974,7.2
600048,600048,0.34786333333333336,0.28261269303320086,0.4775,0.39877470527330683,6.46
600031,600031,0.46517,0.07731713500405986,0.4775,0.3987729270008119,21.29
600016,600016,0.13899333333333336,0.6375825824926862,0.4775,0.3966641831652039,3.96
000425,000425,0.4388633333333333,0.04051850462432775,0.4775,0.3822058675915322,11.45
000425,000425,0.4388633333333333,0.04051850462432775,0.4775,0.3822058675915322,11.45
600036,招商银行,0.26671,0.3304546101487947,0.4775,0.37993942202975894,38.79
600362,600362,0.40127999999999997,0.05994881609645519,0.4775,0.37293776321929106,50.74
601006,601006,0.0,0.7362235799281754,0.4775,0.3677447159856351,5.34
600010,600010,0.0,0.43111225568647366,0.4775,0.30672245113729474,2.87
600585,600585,0.0,0.3577799218900186,0.4775,0.29205598437800373,24.59
600028,600028,0.11406666666666666,0.08736868113886755,0.4775,0.2778970695611068,6.33
600030,600030,0.0562,0.12167230917844703,0.4775,0.26450446183568943,25.88
000002,000002,0.0,0.16593254765085372,0.4775,0.25368650953017075,4.7
000625,000625,0.0,0.14911395543863687,0.4775,0.25032279108772737,10.82
000625,000625,0.0,0.14911395543863687,0.4775,0.25032279108772737,10.82
